participant,choiceTest_devaluationRatio,Bug
sub-10,0.908163265,SlowMouseCodeBug
sub-100,0.782608696,SlowMouseCodeBug
sub-101,0.982188295,SlowMouseCodeBug
sub-102,0.793333333,SlowMouseCodeBug
sub-103,0.606153846,SlowMouseCodeBug
sub-104,0.74267101,SlowMouseCodeBug
sub-105,0.260479042,SlowMouseCodeBug
sub-106,0.490566038,SlowMouseCodeBug
sub-107,0.420118343,SlowMouseCodeBug
sub-108,0.564102564,SlowMouseCodeBug
sub-109,1,SlowMouseCodeBug
sub-110,0.490842491,SlowMouseCodeBug
sub-111,1,SlowMouseCodeBug
sub-112,0.485875706,slowMouseNoBug
sub-113,1,slowMouseNoBug
sub-114,1,slowMouseNoBug
sub-115,1,slowMouseNoBug
sub-116,0.506361323,slowMouseNoBug
sub-117,0.751412429,slowMouseNoBug
sub-118,0.50931677,slowMouseNoBug
sub-119,0.944954128,slowMouseNoBug
sub-12,1,SlowMouseCodeBug
sub-120,0.496478873,slowMouseNoBug
sub-121,0.785714286,slowMouseNoBug
sub-122,0,slowMouseNoBug
sub-123,0.326666667,slowMouseNoBug
sub-124,1,slowMouseNoBug
sub-125,0.586715867,slowMouseNoBug
sub-126,0.501340483,slowMouseNoBug
sub-127,0.162790698,slowMouseNoBug
sub-128,0.495614035,slowMouseNoBug
sub-129,0.827586207,slowMouseNoBug
sub-13,0.712328767,SlowMouseCodeBug
sub-130,0.647058824,slowMouseNoBug
sub-131,0.434782609,slowMouseNoBug
sub-132,0.716262976,slowMouseNoBug
sub-133,0.513011152,slowMouseNoBug
sub-134,0.538983051,slowMouseNoBug
sub-135,0.98013245,slowMouseNoBug
sub-136,0.990566038,slowMouseNoBug
sub-137,0.675555556,slowMouseNoBug
sub-138,0.505535055,slowMouseNoBug
sub-139,1,slowMouseNoBug
sub-14,0.205992509,fastMouseCodeBug
sub-140,1,slowMouseNoBug
sub-141,0.5,slowMouseNoBug
sub-142,0.524528302,slowMouseNoBug
sub-143,0.902027027,slowMouseNoBug
sub-144,0.829787234,slowMouseNoBug
sub-145,1,slowMouseNoBug
sub-146,0.539823009,slowMouseNoBug
sub-147,0.994475138,slowMouseNoBug
sub-148,0.848214286,slowMouseNoBug
sub-149,0.772727273,slowMouseNoBug
