ID,devaluation_ratio

sub-10_,0.908163265

sub-100,0.782608696

sub-101,0.982188295

sub-102,0.793333333

sub-103,0.606153846

sub-104,0.74267101

sub-105,0.260479042

sub-106,0.490566038

sub-107,0.420118343

sub-108,0.564102564

sub-109,1

sub-110,0.490842491

sub-111,1

sub-112,0.485875706

sub-113,1

sub-114,1

sub-115,1

sub-116,0.506361323

sub-117,0.751412429

sub-118,0.50931677

sub-119,0.944954128

sub-12_,1

sub-120,0.496478873

sub-121,0.785714286

sub-122,0

sub-123,0.326666667

sub-124,1

sub-125,0.586715867

sub-126,0.501340483

sub-127,0.162790698

sub-128,0.495614035

sub-129,0.827586207

sub-13_,0.712328767

sub-130,0.647058824

sub-131,0.434782609

sub-132,0.716262976

sub-133,0.513011152

sub-134,0.538983051

sub-135,0.98013245

sub-136,0.990566038

sub-137,0.675555556

sub-138,0.505535055

sub-139,1

sub-14_,0.205992509

sub-140,1

sub-141,0.5

sub-142,0.524528302

sub-143,0.902027027

sub-144,0.829787234

sub-144,0.829787234

sub-145,1

sub-146,0.539823009

sub-147,0.994475138

sub-148,0.848214286

sub-149,0.772727273

sub-15_,0.52

sub-150,0.887850467

sub-151,0.551515152

sub-152,0.924924925

sub-153,0.809322034

sub-154,0.027431421

sub-155,0.821428571

sub-156,0.930232558

sub-157,0.572413793

sub-158,0.515151515

sub-159,0.980716253

sub-16_,0.560185185

sub-160,0.986666667

sub-161,0.908119658

sub-162,1

sub-163,0.995169082

sub-164,0.49702381

sub-165,0.479166667

sub-166,0.496794872

sub-167,0.123287671

sub-168,0.596205962

sub-169,0.506666667

sub-17_,0.547619048

sub-170,0.78021978

sub-171,0.9675

sub-171,0.9675

sub-172,0.483282675

sub-173,0.844827586

sub-174,0.960606061

sub-175,0.583333333

sub-176,0.590792839

sub-177,0.5

sub-179,1

sub-180,0.968627451

sub-181,1

sub-182,0.329439252

sub-183,0.538461538

sub-184,0.733944954

sub-185,0.970350404

sub-186,0.493243243

sub-186,0.493243243

sub-187,0.601036269

sub-188,0.596214511

sub-189,0.575645756

sub-19_,0.428205128

sub-190,0.559859155

sub-191,1

sub-192,0.926666667

sub-193,0.989473684

sub-194,0.485933504

sub-195,0.944444444

sub-196,0.470588235

sub-197,0.854304636

sub-2_t,0.725

sub-20_,0.458955224

sub-21_,0.495677233

sub-22_,0.993939394

sub-23_,0.756823821

sub-24_,0.446366782

sub-24_,0.446366782

sub-25_,0.41509434

sub-26_,0.198198198

sub-27_,1

sub-28_,0.564766839

sub-29_,0.28125

sub-3_t,0.451737452

sub-30_,0.757894737

sub-31_,0.545977011

sub-32_,0.472663139

sub-33_,0.290381125

sub-34_,0.997474747

sub-35_,0.462068966

sub-36_,0.933463796

sub-37_,0.412068966

sub-38_,1

sub-39_,0.630165289

sub-4_t,0.68226601

sub-40_,0.641618497

sub-41_,0.701716738

sub-42_,0.50524109

sub-43_,0.873684211

sub-44_,0.990625

sub-45_,0.992947814

sub-46_,0.432132964

sub-47_,0.54789272

sub-48_,0.394886364

sub-49_,0.595776772

sub-5_t,1

sub-50_,0.995085995

sub-51_,0.434782609

sub-52_,0.556

sub-53_,0.589147287

sub-54_,0.476357268

sub-55_,0.649350649

sub-56_,0.742268041

sub-57_,0.57493188

sub-58_,0.421157685

sub-59_,0.572327044

sub-6_t,0.507936508

sub-60_,1

sub-61_,0.975308642

sub-62_,0.590529248

sub-63_,0.678481013

sub-64_,0.510204082

sub-65_,0.485148515

sub-66_,0.396396396

sub-67_,0.995049505

sub-68_,1

sub-69_,0.563829787

sub-7_t,0.534124629

sub-70_,0.629558541

sub-71_,0.128158845

sub-72_,0.856502242

sub-74_,0.712543554

sub-76_,0.993243243

sub-77_,0.485861183

sub-78_,0.263157895

sub-8_t,0.894736842

sub-80_,0.515444015

sub-81_,0.566420664

sub-82_,1

sub-83_,0.63976378

sub-84_,0.990536278

sub-85_,0.772727273

sub-86_,0.329317269

sub-87_,1

sub-88_,0.981343284

sub-89_,1

sub-9_t,0.351648352

sub-90_,0.575757576

sub-91_,0.892857143

sub-92_,0.419444444

sub-93_,0.479820628

sub-94_,1

sub-95_,0.547619048

sub-96_,1

sub-97_,0.480916031

sub-98_,0.652421652

sub-99_,0.672473868
