subID,age,gender
2,42,Female
6,23,Male
7,29,Male
8,33,Female
9,53,Male
12,28,Female
20,19,Female
22,33,Male
23,30,Female
26,31,Female
28,48,Female
29,23,Male
31,28,Non-specific
34,40,Male
37,32,Female
39,40,Female
44,55,Female
45,26,Male
46,28,Female
47,32,Female
50,20,Male
52,34,Female
53,31,Male
57,59,Female
61,45,Male
65,30,Male
66,24,Female
67,26,Female
69,27,Male
70,29,Male
71,24,Female
76,28,Female
77,22,Male
78,36,Male
79,54,Male
80,37,Female
81,26,Male
82,27,Non-specific
85,55,Female
86,58,Female
87,30,Female
92,38,Male
95,31,Male
96,32,Female
97,32,Male
99,50,Male
100,33,Male
101,52,Male
102,24,Male
105,22,Female
106,30,Male
107,28,Female
108,30,Female
109,48,Male
111,29,Female
114,48,Male
115,56,Female
116,20,Female
118,28,Female
120,33,Female
122,32,Female
125,18,Female
126,38,Male
128,31,Female
129,58,Male
130,28,Male
132,22,Female
133,27,Male
134,31,Male
137,35,Male
138,29,Male
140,33,Male
144,38,Male
146,46,Female
149,31,Male
151,45,Female
153,25,Male
154,23,Male
155,27,Male
156,66,Female
159,20,Male
160,33,Female
162,21,Male
163,28,Male
164,28,Female
166,22,Non-specific
167,26,Male
170,41,Female
171,33,Female
172,22,Female
174,18,Female
175,42,Female
176,40,Male
178,32,Male
181,27,Male
183,59,Female
185,35,Male
187,26,Male
188,28,Female
192,36,Female
193,22,Non-specific
194,22,Male
195,26,Male
196,37,Male
199,20,Female
202,51,Female
203,41,Male
205,26,Male
207,37,Male
208,27,Male
210,32,Female
211,61,Male
212,57,Female
214,18,Male
215,19,Female
218,24,Female
219,18,Female
220,22,Female
223,41,Male
224,31,Male
230,22,Female
232,32,Male
233,20,Female
234,50,Female
235,32,Male
236,20,Female
237,62,Female
238,18,Female
239,38,Male
242,59,Male
244,35,Male
248,31,Female
249,22,Male
250,30,Female
251,27,Male
252,29,Male
254,18,Male
256,26,Male
257,33,Male
260,21,Male
263,44,Male
264,36,Female
265,41,Female
267,27,Male
269,31,Male
271,25,Female
275,45,Male
278,72,Male
279,30,Female
280,28,Female
287,27,Male
289,34,Female
291,37,Female
293,20,Non-specific
294,25,Male
296,30,Male
297,34,Female
298,28,Male
301,33,Male
303,24,Female
307,24,Male
308,36,Male
309,24,Male
311,34,Female
