subID,subID_prolific,firebaseID,dev_coin,valued_resp,total_resp,dev_ratio,consump_ratio,training_bonus,consump1_bonus,consump2_bonus,total_pay,contingency_correct,contingency_pass,inclusion,neg_IPI_gold,neg_IPI_silver
1,5f586649c69fa03d210fc616,08jgrPtdIMPPS5RDcNEnUASfmGY2,GOLD,74,188,0.39361702127659576,0.9,-0.806,0.5,0.45,0.14399999999999996,4,1,1,9,8
2,5b133bba30d562000155dc2e,0QrFxWMMcqTh5J2UzYPVSDebg292,SILVER,188,369,0.5094850948509485,1.0,0.8369999999999997,0.5,0.5,1.8369999999999997,2,1,1,9,9
3,5e2bf2153a9311222d4892c6,0WArc1PlsSUlwCtt3yNBnjsmCoT2,SILVER,311,313,0.9936102236421726,0.5,0.7779999999999996,0.35000000000000003,0.25,1.3779999999999997,4,1,0,9,9
4,5d99139757ff31001946659b,0YmwQHc5rnTdhywIOl7jgwWEIFU2,SILVER,278,533,0.5215759849906192,0.6,2.3210000000000006,0.5,0.30000000000000004,3.1210000000000004,2,1,0,9,9
5,5eeba783164680119f2e30c7,0moqzG1jGtcvNOKbmWFdR7DNnBe2,SILVER,212,408,0.5196078431372549,0.1,0.9030000000000005,0.5,0.05,1.4530000000000005,2,1,0,9,9
6,5f567af7b7f3d20afb49512c,0oriw0UZIYV7ozkrav37cjhkBd33,GOLD,938,1879,0.49920170303352845,1.0,2.023999999999999,0.5,0.5,3.023999999999999,4,1,1,9,9
7,5d9f8573ce3daf0015e3e400,0wR6uyezCpNvNSptiFjNdqc9cWA3,GOLD,134,141,0.950354609929078,1.0,-0.2939999999999996,0.5,0.5,0.7060000000000004,4,1,1,9,9
8,5f590f98273d870ec1164653,14pENc49xgfJO4qw9ZH4IRW0XPl1,GOLD,422,486,0.8683127572016461,0.8,1.0770000000000008,0.5,0.4,1.9770000000000008,4,1,1,9,9
9,58cbd23d5d42920001414dd8,17oyEp8KxwQquxpQVtRVvOOdFfR2,SILVER,205,325,0.6307692307692307,0.9,0.8410000000000002,0.45,0.45,1.741,2,1,1,9,9
10,5e67032bc302df492496fbaa,1CB5uExPwRRsDt1dH9BRzmvgo972,GOLD,20,31,0.6451612903225806,1.0,-2.147,0.5,0.5,-1.1469999999999998,4,1,1,9,9
11,5c5a82b39dd64d00018adeee,1DpPfNQe4Fbl3i0KH3jWm4o0iro1,SILVER,117,226,0.5176991150442478,0.4,0.3720000000000008,0.30000000000000004,0.2,0.8720000000000008,3,1,0,8,7
